分析时间: 2025-11-19 00:22:33

==== 分析结果 ====
全局最小值位置: 0.000000
左段拟合: y = 0.0000x + 2480.6207 (R² = 0.0000)
右段拟合: y = -3229.8905x + 4841.6828 (R² = 0.4407)
交点: (0.731004, 2480.620690)
HCl浓度: 0.200000 mol/L
Na2CO3浓度: 0.543505 mol/L
==== 原始数据 ====
x_fraction	y_conductance
0.005333	2384.000000
0.011333	2384.000000
0.017667	2474.000000
0.024000	1872.000000
0.030000	2718.000000
0.036333	4828.000000
0.042667	5016.000000
0.048667	5016.000000
0.055000	5016.000000
0.061000	5016.000000
0.067333	5016.000000
0.073333	5016.000000
0.079667	5016.000000
0.086000	5016.000000
0.092000	5016.000000
0.098333	5016.000000
0.104333	5016.000000
0.110667	5016.000000
0.116667	5016.000000
0.123000	5016.000000
0.129000	5016.000000
0.135333	5016.000000
0.141333	5016.000000
0.147667	5016.000000
0.154000	5016.000000
0.160000	5016.000000
0.166333	5016.000000
0.172667	5016.000000
0.178667	5016.000000
0.184667	5016.000000
0.191000	5016.000000
0.197000	5016.000000
0.203333	5016.000000
0.209333	5016.000000
0.215667	5016.000000
0.222000	5016.000000
0.228000	5016.000000
0.234333	5016.000000
0.240667	5016.000000
0.246667	5016.000000
0.253000	5016.000000
0.259000	5016.000000
0.265333	5016.000000
0.271667	5016.000000
0.284000	5016.000000
0.290000	5016.000000
0.296333	5016.000000
0.308667	5016.000000
0.321000	4944.000000
0.346000	4960.000000
0.352000	4970.000000
0.358333	4960.000000
0.364333	4952.000000
0.370667	4944.000000
0.377000	4990.000000
0.383000	4990.000000
0.389333	4960.000000
0.395333	4802.000000
0.401667	4544.000000
0.408000	4190.000000
0.414000	4132.000000
0.420333	4132.000000
0.426333	4128.000000
0.432667	4132.000000
0.438667	4128.000000
0.445000	4148.000000
0.451000	4112.000000
0.457333	4112.000000
0.463333	4118.000000
0.469667	4248.000000
0.475667	3884.000000
0.482000	3606.000000
0.488000	3774.000000
0.494333	3774.000000
0.500333	3866.000000
0.506667	3872.000000
0.513000	3918.000000
0.519000	4050.000000
0.525333	3918.000000
0.531333	3918.000000
0.537667	3768.000000
0.544000	3606.000000
0.550000	3682.000000
0.556333	3774.000000
0.562667	3762.000000
0.568667	3762.000000
0.575000	3742.000000
0.581000	3454.000000
0.587333	2844.000000
0.593667	2446.000000
0.599667	2256.000000
0.606000	2256.000000
0.612000	2124.000000
0.618333	2076.000000
0.624667	2140.000000
0.630667	2120.000000
0.637000	2068.000000
0.643000	2068.000000
0.649333	2020.000000
0.655667	1996.000000
0.661667	1952.000000
0.668000	1644.000000
0.674000	1416.000000
0.680333	1416.000000
0.686667	1316.000000
0.692667	1302.000000
0.698667	1338.000000
0.705000	1324.000000
0.711000	1240.000000
0.717333	1240.000000
0.723333	1216.000000
0.729667	1208.000000
0.736000	1044.000000
0.742000	934.000000
0.754667	952.000000
0.767000	1118.000000
0.779333	1184.000000
0.791667	1220.000000
0.822667	1400.000000
0.829000	1400.000000
0.835000	1446.000000
0.841333	1442.000000
0.847333	1460.000000
0.853667	1476.000000
0.859667	1546.000000
0.866000	1546.000000
0.872000	1628.000000
0.878333	1644.000000
0.884667	1658.000000
0.890667	1718.000000
0.897000	1766.000000
0.903000	1766.000000
0.909333	1770.000000
0.915333	1820.000000
0.921667	1926.000000
0.928000	2020.000000
0.934000	2054.000000
0.940333	2054.000000
0.946667	2184.000000
0.952667	2248.000000
0.959000	2258.000000
0.965000	2314.000000
0.971333	2370.000000
0.977333	2370.000000
0.983667	2446.000000
0.990000	2460.000000
0.996000	2474.000000
0.000000	2570.000000
0.000000	2502.000000
0.000000	2502.000000
0.000000	2476.000000
0.000000	2468.000000
0.000000	2476.000000
0.000000	2474.000000
0.000000	2486.000000
0.000000	2486.000000
0.000000	2468.000000
0.000000	2480.000000
0.000000	2490.000000
0.000000	2490.000000
0.000000	2476.000000
0.000000	2476.000000
0.000000	2474.000000
0.000000	2474.000000
0.000000	2474.000000
0.000000	2466.000000
0.000000	2490.000000
0.000000	2490.000000
0.000000	2474.000000
0.000000	2468.000000
0.000000	2466.000000
0.000000	2474.000000
0.000000	2474.000000
0.000000	2474.000000
0.000000	2476.000000
0.000000	2474.000000
0.000000	2486.000000
0.000000	2474.000000
0.000000	2474.000000
0.000000	2474.000000
0.000000	2476.000000
0.000000	2466.000000
0.000000	24.000000
0.000000	2474.000000
