分析时间: 2025-11-19 00:51:41

==== 分析结果 ====
全局最小值位置: 0.000000
左段拟合: y = 0.0000x + 2481.0909 (R² = 0.0000)
右段拟合: y = 5431.4134x + 3669.3298 (R² = 0.3191)
交点: (-0.218772, 2481.090909)
HCl浓度: 0.200000 mol/L
Na2CO3浓度: -0.035900 mol/L
==== 原始数据 ====
x_fraction	y_conductance
0.005333	2384.000000
0.011333	2384.000000
0.017667	2474.000000
0.024000	1872.000000
0.030000	2718.000000
0.036333	4828.000000
0.042667	5016.000000
0.048667	5016.000000
0.055000	5016.000000
0.061000	5016.000000
0.067333	5016.000000
0.073333	5016.000000
0.079667	5016.000000
0.086000	5016.000000
0.092000	5016.000000
0.098333	5016.000000
0.104333	5016.000000
0.110667	5016.000000
0.116667	5016.000000
0.123000	5016.000000
0.129000	5016.000000
0.135333	5016.000000
0.141333	5016.000000
0.147667	5016.000000
0.154000	5016.000000
0.160000	5016.000000
0.166333	5016.000000
0.172667	5016.000000
0.178667	5016.000000
0.184667	5016.000000
0.191000	5016.000000
0.197000	5016.000000
0.203333	5016.000000
0.209333	5016.000000
0.215667	5016.000000
0.222000	5016.000000
0.228000	5016.000000
0.234333	5016.000000
0.240667	5016.000000
0.246667	5016.000000
0.253000	5016.000000
0.259000	5016.000000
0.265333	5016.000000
0.271667	5016.000000
0.284000	5016.000000
0.290000	5016.000000
0.296333	5016.000000
0.308667	5016.000000
0.321000	4944.000000
0.346000	4960.000000
0.352000	4970.000000
0.358333	4960.000000
0.364333	4952.000000
0.370667	4944.000000
0.377000	4990.000000
0.000000	2570.000000
0.000000	2502.000000
0.000000	2502.000000
0.000000	2476.000000
0.000000	2468.000000
0.000000	2476.000000
0.000000	2474.000000
0.000000	2486.000000
0.000000	2486.000000
0.000000	2468.000000
0.000000	2480.000000
0.000000	2490.000000
0.000000	2490.000000
0.000000	2476.000000
0.000000	2476.000000
0.000000	2474.000000
0.000000	2474.000000
0.000000	2474.000000
0.000000	2466.000000
0.000000	2490.000000
0.000000	2490.000000
0.000000	2474.000000
0.000000	2468.000000
0.000000	2466.000000
0.000000	2474.000000
0.000000	2474.000000
0.000000	2474.000000
0.000000	2476.000000
0.000000	2474.000000
0.000000	2486.000000
0.000000	2474.000000
0.000000	2474.000000
0.000000	2474.000000
0.000000	2476.000000
0.000000	2466.000000
0.000000	24.000000
0.000000	2474.000000
